Date,Flow_0h,Flow_1h_P,Flow_2h_P,Rain_1h_P,Rain_2h_P,Level_0h,Level_1h_P,Level_2h_P,Level_2h_F,Level_change
202008010540,255.54,40.494,149.34,0.8,3.8,0.48,-0.02,-0.02,0.67,0.19
202008010550,273.748,35.45,128.802,0.8,3.6,0.48,-0.02,-0.03,0.73,0.25
202008010600,290.418,29.546,109.526,0.6,2.8,0.48,-0.01,-0.03,0.79,0.31
202008010610,305.71,25.94,94.152,1.4,3,0.48,-0.01,-0.03,0.84,0.36
202008010620,317.582,22.212,80.002,1.6,2.8,0.48,-0.01,-0.03,0.9,0.42
202008010630,326.594,19.394,67.142,2.2,3.2,0.48,-0.01,-0.03,0.95,0.47
202008010640,335.52,17.134,57.628,2.8,3.6,0.48,0,-0.02,1,0.52
202008010650,341.96,14.964,50.414,3,3.8,0.5,0.02,0,1.05,0.55
202008010700,348.208,14.166,43.712,4.2,4.8,0.52,0.04,0.03,1.09,0.57
202008010710,353.458,12.34,38.28,5.6,7,0.54,0.06,0.05,1.13,0.59
202008010720,358.076,12.3,34.512,9,10.6,0.58,0.1,0.09,1.17,0.59
202008010730,362.044,10.62,30.014,11.6,13.8,0.62,0.14,0.13,1.21,0.59
202008010740,365.066,10.872,28.006,11.6,14.4,0.67,0.19,0.19,1.25,0.58
202008010750,367.9,9.936,24.9,11.8,14.8,0.73,0.23,0.25,1.3,0.57
202008010800,370.42,8.608,22.774,10.6,14.8,0.79,0.27,0.31,1.33,0.54
202008010810,372.852,10.144,22.484,9.6,15.2,0.84,0.3,0.36,1.37,0.53
202008010820,375.21,7.668,19.968,7.6,16.6,0.9,0.32,0.42,1.4,0.5
202008010830,377.008,7.296,17.916,6.4,18,0.95,0.33,0.47,1.43,0.48
202008010840,379.232,4.926,15.798,8.2,19.8,1,0.33,0.52,1.45,0.45
202008010850,380.24,4.756,14.692,11.6,23.4,1.05,0.32,0.55,1.47,0.42
202008010900,382.72,6.828,15.436,15.6,26.2,1.09,0.3,0.57,1.5,0.41
202008010910,383.472,4.394,14.538,18.2,27.8,1.13,0.29,0.59,1.53,0.4
202008010920,386.082,4.54,12.208,21.6,29.2,1.17,0.27,0.59,1.57,0.4
202008010930,386.944,6.24,13.536,27.4,33.8,1.21,0.26,0.59,1.61,0.4
202008010940,387.84,6.864,11.79,28.8,37,1.25,0.25,0.58,1.65,0.4
202008010950,390.384,7.2,11.956,28.6,40.2,1.3,0.25,0.57,1.69,0.39
202008011000,390.388,6.403,13.231,27.2,42.8,1.33,0.24,0.54,1.73,0.4
202008011010,390.768,6.77,11.164,24.4,42.6,1.37,0.24,0.53,1.76,0.39
202008011020,391.008,8.554,13.094,20.8,42.4,1.4,0.23,0.5,1.79,0.39
202008011030,391.7,8.735,14.975,14,41.4,1.43,0.22,0.48,1.82,0.39
202008011040,394.668,11.332,18.196,13.4,42.2,1.45,0.2,0.45,1.85,0.4
202008011050,394.778,11.841,19.041,10,38.6,1.47,0.17,0.42,1.87,0.4
202008011100,394.928,11.825,18.228,8.4,35.6,1.5,0.17,0.41,1.89,0.39
202008011110,397.008,15.011,21.781,12.4,36.8,1.53,0.16,0.4,1.91,0.38
202008011120,397.872,13.868,22.422,15.2,36,1.57,0.17,0.4,1.93,0.36
202008011130,398.9,13.713,22.448,15.4,29.4,1.61,0.18,0.4,1.95,0.34
202008011140,401.071,13.182,24.514,13,26.4,1.65,0.2,0.4,1.97,0.32
202008011150,401.548,14.768,26.609,14,24,1.69,0.22,0.39,1.99,0.3
202008011200,403.482,16.422,28.247,13.4,21.8,1.73,0.23,0.4,2.01,0.28
202008011210,405.743,16.597,31.608,9.2,21.6,1.76,0.23,0.39,2.03,0.27
202008011220,409.204,20.621,34.489,5.8,21,1.79,0.22,0.39,2.04,0.25
202008011230,410.741,22.876,36.589,4.6,20,1.82,0.21,0.39,2.06,0.24
202008011240,412.896,24.154,37.336,3.8,16.8,1.85,0.2,0.4,2.07,0.22
202008011250,416.559,24.976,39.744,2.2,16.2,1.87,0.18,0.4,2.09,0.22
202008011300,417.35,27.05,43.472,1.6,15,1.89,0.16,0.39,2.1,0.21
202008011310,419.456,30.595,47.192,0.8,10,1.91,0.15,0.38,2.11,0.2
202008011320,422.386,32.651,53.272,0,5.8,1.93,0.14,0.36,2.13,0.2
202008011330,425.509,37.563,60.439,0,4.6,1.95,0.13,0.34,2.14,0.19
202008011340,429.318,43.404,67.558,0.2,4,1.97,0.12,0.32,2.16,0.19
202008011350,433.156,51.672,76.648,0.4,2.6,1.99,0.12,0.3,2.17,0.18
202008011400,437.971,58.348,85.398,0.6,2.2,2.01,0.12,0.28,2.19,0.18
202008011410,442.332,64.023,94.618,1,1.8,2.03,0.12,0.27,2.2,0.17
202008011420,446.54,71.114,103.765,1.8,1.8,2.04,0.11,0.25,2.22,0.18
202008011430,450.485,82.694,120.257,2.2,2.2,2.06,0.11,0.24,2.23,0.17
202008011440,456.368,97.766,141.17,2,2.2,2.07,0.1,0.22,2.24,0.17
202008011450,463.751,106.359,158.031,2,2.4,2.09,0.1,0.22,2.25,0.16
202008011500,470.622,114.907,173.255,2.2,2.8,2.1,0.09,0.21,2.26,0.16
202008011510,479.895,121.197,185.22,2,3,2.11,0.08,0.2,2.27,0.16
202008011520,489.944,126.612,197.726,1.2,3,2.13,0.09,0.2,2.29,0.16
202008011530,502.157,123.353,206.047,1,3.2,2.14,0.08,0.19,2.3,0.16
202008011540,514.716,115.523,213.289,1,3,2.16,0.09,0.19,2.31,0.15
202008011550,527.774,116.177,222.536,1,3,2.17,0.08,0.18,2.33,0.16
202008011600,541.736,114.512,229.419,0.6,2.8,2.19,0.09,0.18,2.34,0.15
202008011610,562.589,114.396,235.593,0.4,2.4,2.2,0.09,0.17,2.36,0.16
202008011620,587.71,117.674,244.286,0.4,1.6,2.22,0.09,0.18,2.37,0.15
202008011630,608.516,121.525,244.878,0.2,1.2,2.23,0.09,0.17,2.39,0.16
202008011640,629.623,119.263,234.786,0.2,1.2,2.24,0.08,0.17,2.4,0.16
202008011650,648.971,117.748,233.925,0,1,2.25,0.08,0.16,2.41,0.16
202008011700,668.348,106.445,220.957,0,0.6,2.26,0.07,0.16,2.43,0.17
202008011710,685.942,101.267,215.663,0,0.4,2.27,0.07,0.16,2.44,0.17
202008011720,703.233,89.892,207.566,0,0.4,2.29,0.07,0.16,2.46,0.17
202008011730,724.693,106.351,227.876,0,0.2,2.3,0.07,0.16,2.48,0.18
202008011740,744.135,89.455,208.718,0,0.2,2.31,0.07,0.15,2.49,0.18
202008011750,763.367,75.018,192.766,0,0,2.33,0.08,0.16,2.51,0.18
202008011800,786.022,67.69,174.135,0,0,2.34,0.08,0.15,2.53,0.19
202008011810,807.467,54.544,155.811,0,0,2.36,0.09,0.16,2.54,0.18
202008011820,822.496,45.138,135.03,0,0,2.37,0.08,0.15,2.56,0.19
202008011830,842.441,5.437,111.788,0,0,2.39,0.09,0.16,2.57,0.18
202008011840,850.58,2.444,91.899,0,0,2.4,0.09,0.16,2.58,0.18
202008011850,864.634,-3.557,71.461,0,0,2.41,0.08,0.16,2.59,0.18
202008011900,875.914,-7.644,60.046,0,0,2.43,0.09,0.17,2.6,0.17
202008011910,913.818,-10.405,44.139,0,0,2.44,0.08,0.17,2.61,0.17
202008011920,911.951,-9.125,36.013,0.4,0.4,2.46,0.09,0.17,2.61,0.15
202008011930,917.459,-16.292,-10.855,0.8,0.8,2.48,0.09,0.18,2.62,0.14
202008011940,918.27,-19.753,-17.309,1.2,1.2,2.49,0.09,0.18,2.62,0.13
202008011950,919.178,-15.201,-18.758,1.8,1.8,2.51,0.1,0.18,2.62,0.11
202008012000,921.052,-10.945,-18.589,2.8,2.8,2.53,0.1,0.19,2.62,0.09
202008012010,919.255,-12.068,-22.473,3,3,2.54,0.1,0.18,2.62,0.08
202008012020,914.395,-9.565,-18.69,2.8,3.2,2.56,0.1,0.19,2.62,0.06
202008012030,913.902,-12.58,-28.872,2.8,3.6,2.57,0.09,0.18,2.62,0.05
202008012040,910.626,-5.476,-25.229,3.6,4.8,2.58,0.09,0.18,2.62,0.04
202008012050,908.773,-5.821,-21.022,3.4,5.2,2.59,0.08,0.18,2.62,0.03
202008012100,911.927,-1.442,-12.387,2.6,5.4,2.6,0.07,0.17,2.62,0.02
202008012110,902.963,-7.255,-19.323,2.4,5.4,2.61,0.07,0.17,2.62,0.01
202008012120,894.642,-20.773,-30.338,2.2,5,2.61,0.05,0.15,2.62,0.01
202008012130,898.701,-8.465,-21.045,1.8,4.6,2.62,0.05,0.14,2.61,-0.01
202008012140,899.681,2.051,-3.425,0.6,4.2,2.62,0.04,0.13,2.61,-0.01
202008012150,896.705,-12.167,-17.988,0.2,3.6,2.62,0.03,0.11,2.6,-0.02
202008012200,902.362,-23.095,-24.537,0,2.6,2.62,0.02,0.09,2.6,-0.02
202008012210,890.383,-8.482,-15.737,0,2.4,2.62,0.01,0.08,2.59,-0.03
202008012220,889.166,-7.954,-28.727,0,2.2,2.62,0.01,0.06,2.59,-0.03
202008012230,892.88,-3.092,-11.557,0,1.8,2.62,0,0.05,2.58,-0.04
202008012240,898.239,-23.009,-20.958,0,0.6,2.62,0,0.04,2.58,-0.04
202008012250,889.45,-13.262,-25.429,0,0.2,2.62,0,0.03,2.57,-0.05
202008012300,881.589,-11.521,-34.616,0,0,2.62,0,0.02,2.57,-0.05
202008012310,881.918,-12.606,-21.088,0,0,2.62,0,0.01,2.56,-0.06
202008012320,891.217,-13.984,-21.938,0,0,2.62,0,0.01,2.55,-0.07
202008012330,880.713,-17.013,-20.105,0.2,0.2,2.61,-0.01,-0.01,2.55,-0.06
202008012340,875.144,-11.442,-34.451,0.2,0.2,2.61,-0.01,-0.01,2.55,-0.06
202008012350,880.968,-13.381,-26.643,0.2,0.2,2.6,-0.02,-0.02,2.54,-0.06
202008012400,873.635,-11.139,-22.66,0.2,0.2,2.6,-0.02,-0.02,2.53,-0.07
202008020010,878.826,-22.667,-35.273,0.2,0.2,2.59,-0.03,-0.03,2.52,-0.07
202008020020,868.208,-20.19,-34.174,0.2,0.2,2.59,-0.03,-0.03,2.52,-0.07
202008020030,867.451,-24.346,-41.359,0,0.2,2.58,-0.03,-0.04,2.51,-0.07
202008020040,863.623,-33.235,-44.677,0,0.2,2.58,-0.03,-0.04,2.5,-0.08
202008020050,868.362,-34.864,-48.245,0,0.2,2.57,-0.03,-0.05,2.49,-0.08
202008020100,859.651,-34.556,-45.695,0,0.2,2.57,-0.03,-0.05,2.48,-0.09
202008020110,861.813,-39.369,-62.036,0,0.2,2.56,-0.03,-0.06,2.47,-0.09
202008020120,856.766,-38.868,-59.058,0,0.2,2.55,-0.04,-0.07,2.46,-0.09
202008020130,854.07,-45.732,-70.078,0.2,0.2,2.55,-0.03,-0.06,2.45,-0.1
202008020140,852.484,-39.427,-72.662,0.2,0.2,2.55,-0.03,-0.06,2.44,-0.11
202008020150,845.695,-41.88,-76.744,0.2,0.2,2.54,-0.03,-0.06,2.42,-0.12
202008020200,839.461,-52.753,-87.309,0.2,0.2,2.53,-0.04,-0.07,2.41,-0.12
202008020210,837.467,-47.251,-86.62,0.2,0.2,2.52,-0.04,-0.07,2.4,-0.12
202008020220,823.531,-52.231,-91.099,0.2,0.2,2.52,-0.03,-0.07,2.39,-0.13
202008020230,819.206,-48.393,-94.125,0,0.2,2.51,-0.04,-0.07,2.38,-0.13
202008020240,817.928,-46.635,-86.062,0,0.2,2.5,-0.05,-0.08,2.37,-0.13
202008020250,806.326,-54.403,-96.283,0,0.2,2.49,-0.05,-0.08,2.35,-0.14
202008020300,800.593,-44.75,-97.503,0,0.2,2.48,-0.05,-0.09,2.34,-0.14
202008020310,791.735,-43.013,-90.264,0,0.2,2.47,-0.05,-0.09,2.33,-0.14
202008020320,784.104,-37.956,-90.187,0,0.2,2.46,-0.06,-0.09,2.32,-0.14
202008020330,777.326,-47.867,-96.26,0,0,2.45,-0.06,-0.1,2.3,-0.15
202008020340,765.175,-59.122,-105.757,0,0,2.44,-0.06,-0.11,2.29,-0.15
202008020350,759.075,-70.56,-124.963,0,0,2.42,-0.07,-0.12,2.28,-0.14
202008020400,748.362,-99.094,-143.844,0,0,2.41,-0.07,-0.12,2.27,-0.14
202008020410,743.342,-125.682,-168.695,0,0,2.4,-0.07,-0.12,2.25,-0.15
202008020420,737.469,-151.381,-189.337,0,0,2.39,-0.07,-0.13,2.24,-0.15
202008020430,722.923,-156.101,-203.968,0,0,2.38,-0.07,-0.13,2.22,-0.16
202008020440,720.425,-152.827,-211.949,0,0,2.37,-0.07,-0.13,2.21,-0.16
202008020450,716.062,-154.255,-224.815,0,0,2.35,-0.07,-0.14,2.19,-0.16
202008020500,710.406,-132.622,-231.716,0,0,2.34,-0.07,-0.14,2.18,-0.16
202008020510,695.475,-118.907,-244.589,0.2,0.2,2.33,-0.07,-0.14,2.16,-0.17
202008020520,678.347,-102.066,-253.447,0.2,0.2,2.32,-0.07,-0.14,2.14,-0.18
202008020530,652.363,-87.304,-243.405,0.2,0.2,2.3,-0.08,-0.15,2.13,-0.17
202008020540,621.331,-87.259,-240.086,0.2,0.2,2.29,-0.08,-0.15,2.11,-0.18
202008020550,590.38,-73.699,-227.954,0.2,0.2,2.28,-0.07,-0.14,2.09,-0.19
202008020600,559.025,-73.181,-205.803,0.2,0.2,2.27,-0.07,-0.14,2.07,-0.2
202008020610,539.374,-67.607,-186.514,0,0.2,2.25,-0.08,-0.15,2.05,-0.2
202008020620,525.52,-61.1,-163.166,0,0.2,2.24,-0.08,-0.15,2.03,-0.21
202008020630,498.108,-62.337,-149.641,0,0.2,2.22,-0.08,-0.16,2.01,-0.21
202008020640,488.709,-56.301,-143.56,0,0.2,2.21,-0.08,-0.16,1.99,-0.22
202008020650,471.473,-58.041,-131.74,0,0.2,2.19,-0.09,-0.16,1.97,-0.22
202008020700,456.959,-44.817,-117.998,0,0.2,2.18,-0.09,-0.16,1.95,-0.23
202008020710,452.07,-41.093,-108.7,0,0,2.16,-0.09,-0.17,1.93,-0.23
202008020720,438.261,-38.31,-99.41,0,0,2.14,-0.1,-0.18,1.91,-0.23
202008020730,424.409,-35.729,-98.066,0,0,2.13,-0.09,-0.17,1.9,-0.23
202008020740,415.528,-34.925,-91.226,0,0,2.11,-0.1,-0.18,1.88,-0.23
202008020750,403.866,-22.552,-80.593,0,0,2.09,-0.1,-0.19,1.86,-0.23
202008020800,395.859,-32.019,-76.836,0,0,2.07,-0.11,-0.2,1.84,-0.23
202008020810,389.733,-30.519,-71.612,0,0,2.05,-0.11,-0.2,1.83,-0.22
202008020820,381.96,-32.493,-70.803,0,0,2.03,-0.11,-0.21,1.81,-0.22
202008020830,366.368,-29.059,-64.788,0,0,2.01,-0.12,-0.21,1.8,-0.21
202008020840,370.711,-25.327,-60.252,0,0,1.99,-0.12,-0.22,1.78,-0.21
202008020850,362.773,-29.092,-51.644,0,0,1.97,-0.12,-0.22,1.77,-0.2
202008020900,357.549,-31.114,-63.133,0,0,1.95,-0.12,-0.23,1.75,-0.2
202008020910,354.004,-22.563,-53.082,0,0,1.93,-0.12,-0.23,1.74,-0.19
202008020920,347.035,-20.117,-52.61,0,0,1.91,-0.12,-0.23,1.72,-0.19
202008020930,343.816,-28.128,-57.187,0,0,1.9,-0.11,-0.23,1.71,-0.19
202008020940,338.692,-28.157,-53.484,0,0,1.88,-0.11,-0.23,1.7,-0.18
202008020950,332.254,-19.716,-48.808,0,0,1.86,-0.11,-0.23,1.69,-0.17
202008021000,325.056,-20.119,-51.233,0,0,1.84,-0.11,-0.23,1.68,-0.16
202008021010,324.945,-23.896,-46.459,0,0,1.83,-0.1,-0.22,1.67,-0.16
202008021020,321.708,-24.193,-44.31,0,0,1.81,-0.1,-0.22,1.66,-0.15
202008021030,314.724,-17.905,-46.033,0,0,1.8,-0.1,-0.21,1.65,-0.15
202008021040,307.578,-16.999,-45.156,0,0,1.78,-0.1,-0.21,1.64,-0.14
202008021050,309.691,-22.368,-42.084,0,0,1.77,-0.09,-0.2,1.63,-0.14
202008021100,304.939,-17.913,-38.032,0,0,1.75,-0.09,-0.2,1.62,-0.13
202008021110,296.817,-16.7,-40.596,0,0,1.74,-0.09,-0.19,1.61,-0.13
202008021120,293.551,-12.59,-36.783,0,0,1.72,-0.09,-0.19,1.6,-0.12
202008021130,295.008,-16.278,-34.183,0.6,0.6,1.71,-0.09,-0.19,1.59,-0.12
202008021140,287.459,-13.238,-30.237,0.6,0.6,1.7,-0.08,-0.18,1.58,-0.12
202008021150,285.795,-10.055,-32.423,1.6,1.6,1.69,-0.08,-0.17,1.58,-0.11
202008021200,280.746,-11.39,-29.303,1.8,1.8,1.68,-0.07,-0.16,1.57,-0.11
202008021210,278.912,-11.934,-28.634,2.2,2.2,1.67,-0.07,-0.16,1.56,-0.11
202008021220,276.552,-10.113,-22.703,2.8,2.8,1.66,-0.06,-0.15,1.56,-0.1
202008021230,272.64,-7.209,-23.487,2.4,3,1.65,-0.06,-0.15,1.55,-0.1
202008021240,269.546,-10.2,-23.438,3.4,4,1.64,-0.06,-0.14,1.54,-0.1
202008021250,269.095,-10.075,-20.13,3.2,4.8,1.63,-0.06,-0.14,1.54,-0.09
202008021300,268.156,-8.752,-20.142,3.6,5.4,1.62,-0.06,-0.13,1.53,-0.09
202008021310,262.634,-11.301,-23.235,4,6.2,1.61,-0.06,-0.13,1.52,-0.09
202008021320,263.314,-11.736,-21.849,4,6.8,1.6,-0.06,-0.12,1.52,-0.08
202008021330,262.585,-12.795,-20.004,3.8,6.2,1.59,-0.06,-0.12,1.52,-0.07
202008021340,258.156,-10.055,-20.255,3,6.4,1.58,-0.06,-0.12,1.52,-0.06
202008021350,257.161,-10.773,-20.848,2.8,6,1.58,-0.05,-0.11,1.52,-0.06
202008021400,258.043,-9.829,-18.581,2.2,5.8,1.57,-0.05,-0.11,1.53,-0.04
202008021410,255.425,-8.787,-20.088,1.8,5.8,1.56,-0.05,-0.11,1.54,-0.02
202008021420,253.114,-7.271,-19.007,1.6,5.6,1.56,-0.04,-0.1,1.56,0
202008021430,252.51,-7.749,-20.544,1.8,5.6,1.55,-0.04,-0.1,1.58,0.03
202008021440,249.404,-5.955,-16.01,2,5,1.54,-0.04,-0.1,1.6,0.06
202008021450,245.86,-5.455,-16.228,1.6,4.4,1.54,-0.04,-0.09,1.62,0.08
202008021500,246.307,-5.528,-15.357,1.8,4,1.53,-0.04,-0.09,1.63,0.1
202008021510,242.63,-2.1,-10.887,1.8,3.6,1.52,-0.04,-0.09,1.65,0.13
202008021520,243.059,-5.372,-12.643,4,5.6,1.52,-0.04,-0.08,1.67,0.15
202008021530,241.737,0.018,-7.731,8,9.8,1.52,-0.03,-0.07,1.69,0.17
202008021540,239.575,1.589,-4.366,13,15,1.52,-0.02,-0.06,1.72,0.2
202008021550,237.073,4.114,-1.341,17.2,18.8,1.52,-0.02,-0.06,1.75,0.23
202008021600,239.036,10.741,5.213,22.2,24,1.53,0,-0.04,1.78,0.25
202008021610,234.881,15.084,12.984,23.4,25.2,1.54,0.02,-0.02,1.81,0.27
202008021620,237.104,25.023,19.651,21.6,25.6,1.56,0.04,0,1.85,0.29
202008021630,236.282,34.326,34.344,17.8,25.8,1.58,0.06,0.03,1.9,0.32
202008021640,234.047,39.661,41.25,13,26,1.6,0.08,0.06,1.94,0.34
202008021650,234.973,49.803,53.917,9.2,26.4,1.62,0.1,0.08,1.99,0.37
202008021700,233.664,63.676,74.417,4.4,26.6,1.63,0.1,0.1,2.03,0.4
202008021710,234.899,79.571,94.655,3,26.4,1.65,0.11,0.13,2.08,0.43
202008021720,238.693,88.212,113.235,2.8,24.4,1.67,0.11,0.15,2.13,0.46
202008021730,240.396,94.258,128.584,2.4,20.2,1.69,0.11,0.17,2.17,0.48
202008021740,244.788,97.442,137.103,2,15,1.72,0.12,0.2,2.22,0.5
202008021750,250.057,97.804,147.607,2.6,11.8,1.75,0.13,0.23,2.26,0.51
202008021800,258.687,90.346,154.022,4.2,8.6,1.78,0.15,0.25,2.31,0.53
202008021810,269.225,78.175,157.746,5.4,8.4,1.81,0.16,0.27,2.35,0.54
202008021820,278.354,74.119,162.331,6.6,9.4,1.85,0.18,0.29,2.39,0.54
202008021830,290.199,70.365,164.623,8,10.4,1.9,0.21,0.32,2.44,0.54
202008021840,308.464,77.87,175.312,8.8,10.8,1.94,0.22,0.34,2.48,0.54
202008021850,329.628,78.724,176.528,8.2,10.8,1.99,0.24,0.37,2.53,0.54
202008021900,346.899,75.337,165.683,7.4,11.6,2.03,0.25,0.4,2.59,0.56
202008021910,363.483,71.8,149.975,7,12.4,2.08,0.27,0.43,2.66,0.58
202008021920,375.796,65.525,139.644,5.6,12.2,2.13,0.28,0.46,2.72,0.59
202008021930,388.003,59.325,129.69,4.6,12.6,2.17,0.27,0.48,2.78,0.61
202008021940,398.81,45.107,122.977,4,12.8,2.22,0.28,0.5,2.85,0.63
202008021950,407.803,35.966,114.69,3.6,11.8,2.26,0.27,0.51,2.92,0.66
202008022000,421.018,32.186,107.523,2.8,10.2,2.31,0.28,0.53,2.98,0.67
202008022010,433.848,29.71,101.51,1.8,8.8,2.35,0.27,0.54,3.05,0.7
202008022020,453.666,24.51,90.035,1.6,7.2,2.39,0.26,0.54,3.1,0.71
202008022030,466.727,21.59,80.915,1.2,5.8,2.44,0.27,0.54,3.16,0.72
202008022040,474.147,18.23,63.337,0.8,4.8,2.48,0.26,0.54,3.21,0.73
202008022050,479.603,19.639,55.605,0.6,4.2,2.53,0.27,0.54,3.27,0.74
202008022100,486.543,147.107,179.293,0.2,3,2.59,0.28,0.56,3.33,0.74
202008022110,493.173,161.576,191.286,0.4,2.2,2.66,0.31,0.58,3.39,0.73
202008022120,498.773,166.934,191.444,0.4,2,2.72,0.33,0.59,3.45,0.73
202008022130,502.693,168.892,190.482,1,2.2,2.78,0.34,0.61,3.52,0.74
202008022140,506.333,177.57,195.8,5.8,6.6,2.85,0.37,0.63,3.6,0.75
202008022150,509.313,181.895,201.534,11.2,11.8,2.92,0.39,0.66,3.68,0.76
202008022200,511.053,62.874,209.981,14,14.2,2.98,0.39,0.67,3.77,0.79
202008022210,514.763,66.798,228.374,18,18.4,3.05,0.39,0.7,3.88,0.83
202008022220,517.003,89.186,256.12,23.2,23.6,3.1,0.38,0.71,3.99,0.89
202008022230,522.332,130.739,299.631,25.8,26.8,3.16,0.38,0.72,4.12,0.96
202008022240,653.44,179.71,357.28,25.2,31,3.21,0.36,0.73,4.28,1.07
202008022250,670.889,234.576,416.471,23.4,34.6,3.27,0.35,0.74,4.45,1.18
202008022300,677.987,291.322,354.196,22.6,36.6,3.33,0.35,0.74,4.64,1.31
202008022310,683.655,359.265,426.063,19.4,37.4,3.39,0.34,0.73,4.85,1.46
202008022320,694.573,405.093,494.279,14.6,37.8,3.45,0.35,0.73,5.05,1.6
202008022330,704.227,529.633,660.372,11.4,37.2,3.52,0.36,0.74,5.29,1.77
202008022340,716.314,888.534,1068.244,8.6,33.8,3.6,0.39,0.75,5.53,1.93
202008022350,737.687,965.979,1200.555,6,29.4,3.68,0.41,0.76,5.78,2.1
202008022400,767.173,1009.987,1301.309,6.8,29.4,3.77,0.44,0.79,6.03,2.26
202008030010,814.394,1043.469,1402.734,8.4,27.8,3.88,0.49,0.83,6.28,2.4
202008030020,874.283,1186.404,1591.497,8.6,23.2,3.99,0.54,0.89,6.53,2.54
202008030030,938.803,1203.214,1732.847,10.8,22.2,4.12,0.6,0.96,6.78,2.66
202008030040,1007.636,1177.079,2065.613,13.6,22.2,4.28,0.68,1.07,7.01,2.73
202008030050,1096.952,1241.45,2207.429,15,21,4.45,0.77,1.18,7.23,2.78
202008030100,1172.266,1293.045,2303.032,13.2,20,4.64,0.87,1.31,7.46,2.82
202008030110,1344.027,1508.677,2552.146,11.4,19.8,4.85,0.97,1.46,7.67,2.82
202008030120,1762.817,1734.304,2920.708,11.8,20.4,5.05,1.06,1.6,7.87,2.82
202008030130,1904.782,1692.858,2896.072,10.4,21.2,5.29,1.17,1.77,8.06,2.77
202008030140,2017.623,1446.719,2623.798,6.2,19.8,5.53,1.25,1.93,8.23,2.7
202008030150,2140.421,1381.324,2622.774,3.8,18.8,5.78,1.33,2.1,8.39,2.61
202008030200,2358.67,1359.592,2652.637,3.2,16.4,6.03,1.39,2.26,8.52,2.49
202008030210,2547.241,1217.566,2726.243,2.4,13.8,6.28,1.43,2.4,8.66,2.38
202008030220,2939.896,1310.465,3044.769,1.2,13,6.53,1.48,2.54,8.75,2.22
202008030230,3146.232,1265.608,2958.466,0.4,10.8,6.78,1.49,2.66,8.84,2.06
202008030240,3310.668,1203.592,2650.311,0.4,6.6,7.01,1.48,2.73,8.93,1.92
202008030250,3649.098,1135.401,2516.725,0.4,4.2,7.23,1.45,2.78,8.99,1.76
202008030300,4092.974,1022.75,2382.342,0,3.2,7.46,1.43,2.82,9.05,1.59
202008030310,4240.099,394.725,1612.291,0.6,3,7.67,1.39,2.82,9.1,1.43
202008030320,4386.615,-99.994,1210.471,1.2,2.4,7.87,1.34,2.82,9.14,1.27
202008030330,4527.556,-128.466,1137.142,1.4,1.8,8.06,1.28,2.77,9.16,1.1
202008030340,4670.26,-143.667,1059.925,2,2.4,8.23,1.22,2.7,9.2,0.97
202008030350,4866.664,-154.555,980.846,3,3.4,8.39,1.16,2.61,9.21,0.82
202008030400,5403.439,-128.81,893.94,3.8,3.8,8.52,1.06,2.49,9.23,0.71
202008030410,5505.707,339.56,734.285,4.4,5,8.66,0.99,2.38,9.26,0.6
202008030420,5590.207,42.192,-57.802,4.2,5.4,8.75,0.88,2.22,9.27,0.52
